name_en;name_en_metaphone;name_en_metaphone3_primary;name_en_metaphone3_secondary
Belgium;BLJMXXXX;BLJM;BLGM
Bolivia (Plurinational State of);BLFPLRNX;BLVPLRNXNLSTTF;BLVPLRNXNLSTTF
Comoros;KMRSXXXX;KMRS;KMRS
Switzerland;SWTSRLNT;STSRLND;XVTSRLND
Ghana;KHNXXXXX;GN;GN
Iran (Islamic Republic of);RNSLMKRP;ARNSLMKRPBLKF;ARNSLMKRPBLKF
Iraq;RKXXXXXX;ARK;ARK
Jamaica;JMKXXXXX;JK;JK
Netherlands;N0RLNTSX;N0RLNDS;N0RLNDS
Poland;PLNTXXXX;PLND;PLND
Vatican City;FTKNSTXX;VTKNST;VTKNST
Afghanistan;FKHNSTNX;AFGNSTN;AFGNSTN
Algeria;LJRXXXXX;ALJR;ALGR
Hong Kong;HNKKNKXX;HNKNG;HNKNG
Lao Peoples Democratic Republic;LPPLSTMK;LPPLSDMKRTKRPBLK;LPPLSDMKRTKRPBLK
Nauru;NRXXXXXX;NR;NR
Turkmenistan;TRKMNSTN;TRKMNSTN;TRKMNSTN
Zambia;SMBXXXXX;SMB;SMB
Australia;STRLXXXX;ASTRL;ASTRL
Bahamas;BMSXXXXX;BHMS;BHMS
Bosnia and Herzegovina;BSNNTHRS;BSNNDRTSGVN;BSNNDRTSGVN
Czech Republic;KSXRPBLK;XKRPBLK;XKRPBLK
France;FRNSXXXX;FRNS;FRNS
Korea (Republic of);KRRPBLKF;KRRPBLKF;KRRPBLKF
Philippines;FLPNSXXX;FLPNS;FLPNS
Saint Vincent and the Grenadines;SNTFNSNT;SNTVNSNTND0GRNDNS;SNTVNSNTND0GRNDNS
Armenia;RMNXXXXX;ARMN;ARMN
Azerbaijan;SRBJNXXX;ASRBJN;ASRBJN
Burundi;BRNTXXXX;BRND;BRND
Bangladesh;BNKLTXXX;BNGLDX;BNGLDX
Ecuador;KTRXXXXX;AKDR;AKDR
Ethiopia;0PXXXXXX;A0P;A0P
Gabon;KBNXXXXX;GBN;GBN
Gambia;KMBXXXXX;GMB;GMB
Haiti;HTXXXXXX;HT;HT
Kiribati;KRBTXXXX;KRBT;KRBT
Macao;MKXXXXXX;MK;MK
Myanmar;MYNMRXXX;MNMR;MNMR
Puerto Rico;PRTRKXXX;PRTRK;PRTRK
Qatar;KTRXXXXX;KTR;KTR
Slovakia;SLFKXXXX;SLVK;XLVK
Togo;TKXXXXXX;TG;TG
Ukraine;KRNXXXXX;AKRN;AKRN
Greece;KRSXXXXX;GRS;GRS
Mozambique;MSMBKXXX;MSMBK;MSMBK
Mauritius;MRTSXXXX;MRXS;MRTS
Botswana;BTSWNXXX;BTSN;BTSN
Central African Republic;SNTRLFRK;SNTRLFRKNRPBLK;SNTRLFRKNRPBLK
Finland;FNLNTXXX;FNLND;FNLND
Kazakhstan;KSKSTNXX;KSKSTN;KSKSTN
Marshall Islands;MRXLSLNT;MRXLLNDS;MRXLLNDS
Montenegro;MNTNKRXX;MNTNGR;MNTNGR
Malaysia;MLXXXXXX;MLJ;MLJ
Nepal;NPLXXXXX;NPL;NPL
New Zealand;NSLNTXXX;NSLND;NSLND
Peru;PRXXXXXX;PR;PR
United States of America;NTTSTTSF;ANTDSTTSFMRK;ANTDSTTSFMRK
Yemen;YMNXXXXX;AMN;AMN
Cameroon;KMRNXXXX;KMRN;KMRN
Cuba;KBXXXXXX;KB;KB
Dominican Republic;TMNKNRPB;DMNKNRPBLK;DMNKNRPBLK
Italy;TLXXXXXX;ATL;ATL
Liberia;LBRXXXXX;LBR;LBR
Sweden;SWTNXXXX;SDN;SDN
Tunisia;TNXXXXXX;TNJ;TNJ
Samoa;SMXXXXXX;SM;SM
Curaçao;KRXXXXXX;KR;KR
Denmark;TNMRKXXX;DNMRK;DNMRK
