name_en;name_en_metaphone
Belgium;BLJMXXXX
Bolivia (Plurinational State of);BLFPLRNX
Comoros;KMRSXXXX
Switzerland;SWTSRLNT
Ghana;KHNXXXXX
Iran (Islamic Republic of);RNSLMKRP
Iraq;RKXXXXXX
Jamaica;JMKXXXXX
Netherlands;N0RLNTSX
Poland;PLNTXXXX
Vatican City;FTKNSTXX
Afghanistan;FKHNSTNX
Algeria;LJRXXXXX
Hong Kong;HNKKNKXX
Lao Peoples Democratic Republic;LPPLSTMK
Nauru;NRXXXXXX
Turkmenistan;TRKMNSTN
Zambia;SMBXXXXX
Australia;STRLXXXX
Bahamas;BMSXXXXX
Bosnia and Herzegovina;BSNNTHRS
Czech Republic;KSXRPBLK
France;FRNSXXXX
Korea (Republic of);KRRPBLKF
Philippines;FLPNSXXX
Saint Vincent and the Grenadines;SNTFNSNT
Armenia;RMNXXXXX
Azerbaijan;SRBJNXXX
Burundi;BRNTXXXX
Bangladesh;BNKLTXXX
Ecuador;KTRXXXXX
Ethiopia;0PXXXXXX
Gabon;KBNXXXXX
Gambia;KMBXXXXX
Haiti;HTXXXXXX
Kiribati;KRBTXXXX
Macao;MKXXXXXX
Myanmar;MYNMRXXX
Puerto Rico;PRTRKXXX
Qatar;KTRXXXXX
Slovakia;SLFKXXXX
Togo;TKXXXXXX
Ukraine;KRNXXXXX
Greece;KRSXXXXX
Mozambique;MSMBKXXX
Mauritius;MRTSXXXX
Botswana;BTSWNXXX
Central African Republic;SNTRLFRK
Finland;FNLNTXXX
Kazakhstan;KSKSTNXX
Marshall Islands;MRXLSLNT
Montenegro;MNTNKRXX
Malaysia;MLXXXXXX
Nepal;NPLXXXXX
New Zealand;NSLNTXXX
Peru;PRXXXXXX
United States of America;NTTSTTSF
Yemen;YMNXXXXX
Cameroon;KMRNXXXX
Cuba;KBXXXXXX
Dominican Republic;TMNKNRPB
Italy;TLXXXXXX
Liberia;LBRXXXXX
Sweden;SWTNXXXX
Tunisia;TNXXXXXX
Samoa;SMXXXXXX
Curaçao;KRXXXXXX
Denmark;TNMRKXXX
Indonesia;NTNXXXXX
Singapore;SNKPRXXX
El Salvador;LSLFTRXX
Uganda;KNTXXXXX
Uruguay;RKXXXXXX
Venezuela (Bolivarian Republic of);FNSLBLFR
Germany;JRMNXXXX
Guam;KMXXXXXX
Macedonia (the former Yugoslav Republic of);MSTN0FRM
Malawi;MLWXXXXX
Pakistan;PKSTNXXX
Portugal;PRTKLXXX
Canada;KNTXXXXX
Mali;MLXXXXXX
Northern Mariana Islands;NR0RNMRN
Sudan;STNXXXXX
Barbados;BRBTSXXX
Fiji;FJXXXXXX
Kyrgyzstan;KRJSSTNX
Saint Martin (French part);SNTMRTNF
Mauritania;MRTNXXXX
Zimbabwe;SMBBWXXX
Quebec;KBKXXXXX
Chile;XLXXXXXX
Croatia;KRXXXXXX
Saudi Arabia;STRBXXXX
American Samoa;MRKNSMXX
Bermuda;BRMTXXXX
Congo (Democratic Republic of the);KNKTMKRT
Costa Rica;KSTRKXXX
Guinea;KNXXXXXX
Isle of Man;SLFMNXXX
Japan;JPNXXXXX
Solomon Islands;SLMNSLNT
San Marino;SNMRNXXX
Suriname;SRNMXXXX
Turks and Caicos Islands;TRKSNTKK
Antigua and Barbuda;NTKNTBRB
Congo;KNKXXXXX
Honduras;HNTRSXXX
Saint Kitts and Nevis;SNTKTSNT
Romania;RMNXXXXX
Sao Tome and Principe;STMNTPRN
South Africa;S0FRKXXX
Bulgaria;BLKRXXXX
Brunei Darussalam;BRNTRSLM
Cyprus;SPRSXXXX
Micronesia (Federated States of);MKRNXFTR
Morocco;MRKKXXXX
Moldova (Republic of);MLTFRPBL
Madagascar;MTKSKRXX
Mongolia;MNKLXXXX
Sierra Leone;SRLNXXXX
Timor-Leste;TMRLSTXX
Viet Nam;FTNMXXXX
Angola;NKLXXXXX
Belize;BLSXXXXX
Hungary;HNKRXXXX
Ireland;RLNTXXXX
Kuwait;KWTXXXXX
Maldives;MLTFSXXX
Niger;NJRXXXXX
Nicaragua;NKRKXXXX
Palestine,State of;PLSTNSTT
Taiwan;TWNXXXXX
Argentina;RJNTNXXX
Colombia;KLMBXXXX
Jordan;JRTNXXXX
Namibia;NMBXXXXX
Serbia;SRBXXXXX
Tajikistan;TJKSTNXX
Cabo Verde;KBFRTXXX
Georgia;JRJXXXXX
Republic of Kosovo;RPBLKFKS
Luxembourg;LKSMBRKX
Oman;MNXXXXXX
Russian Federation;RXNFTRXN
Somalia;SMLXXXXX
Seychelles;SXLSXXXX
Chad;XTXXXXXX
Tuvalu;TFLXXXXX
Andorra;NTRXXXXX
Bahrain;BRNXXXXX
Brazil;BRSLXXXX
Djibouti;TJBTXXXX
Dominica;TMNKXXXX
Estonia;STNXXXXX
Guatemala;KTMLXXXX
Israel;SRLXXXXX
Monaco;MNKXXXXX
Malta;MLTXXXXX
Senegal;SNKLXXXX
Sint Maarten (Dutch part);SNTMRTNT
Vanuatu;FNTXXXXX
Aruba;RBXXXXXX
Benin;BNNXXXXX
Belarus;BLRSXXXX
Cayman Islands;KMNSLNTS
Gibraltar;JBRLTRXX
Guinea-Bissau;KNBSXXXX
Grenada;KRNTXXXX
India;NTXXXXXX
Libya;LBYXXXXX
Saint Lucia;SNTLXXXX
Latvia;LTFXXXXX
Korea (Democratic Peoples Republic of);KRTMKRTK
South Sudan;S0STNXXX
Trinidad and Tobago;TRNTTNTT
Albania;LBNXXXXX
Bhutan;BHTNXXXX
Côte dIvoire;KTTFRXXX
Sri Lanka;SRLNKXXX
Panama;PNMXXXXX
Syrian Arab Republic;SRNRBRPB
Uzbekistan;SBKSTNXX
Austria;STRXXXXX
Egypt;JPTXXXXX
Eritrea;RTRXXXXX
Faroe Islands;FRSLNTSX
Equatorial Guinea;KTRLKNXX
Greenland;KRNLNTXX
Guyana;KYNXXXXX
Lithuania;L0NXXXXX
Mexico;MKSKXXXX
Norway;NRWXXXXX
Rwanda;RWNTXXXX
Swaziland;SWSLNTXX
Thailand;0LNTXXXX
United Arab Emirates;NTTRBMRT
Spain;SPNXXXXX
United Kingdom of Great Britain and Northern Ireland;NTTKNKTM
Iceland;SLNTXXXX
Kenya;KNYXXXXX
Lesotho;LS0XXXXX
Nigeria;NJRXXXXX
Palau;PLXXXXXX
Papua New Guinea;PPNKNXXX
Burkina Faso;BRKNFSXX
China;XNXXXXXX
Cambodia;KMBTXXXX
Lebanon;LBNNXXXX
Liechtenstein;LXTNSTNX
Paraguay;PRKXXXXX
Slovenia;SLFNXXXX
Tonga;TNKXXXXX
Turkey;TRKXXXXX
Tanzania,United Republic of;TNSNNTTR
Virgin Islands (British);FRJNSLNT
